var_index,var_name,scan_step,scan_value,lb,mid_value,ub,objective_kg,max_bend,max_shear,cv,feasible,error_flag,g_bend,g_shear,g_web_L1,g_flange_L1,g_web_L2,g_flange_L2,g_web_R1,g_flange_R1
1,h_web_L1,1,250,250,400,550,2322.344628,91.047798,24.560114,21.8573218095238,0,0,19.047798,-11.439886,-19.2857142857143,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
1,h_web_L1,2,280,250,400,550,2334.213828,91.525391,24.902103,22.3349148095238,0,0,19.525391,-11.097897,-15,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
1,h_web_L1,3,310,250,400,550,2346.083028,91.198479,25.078001,22.0080028095238,0,0,19.198479,-10.921999,-10.7142857142857,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
1,h_web_L1,4,340,250,400,550,2357.952228,90.227264,25.114357,21.0367878095238,0,0,18.227264,-10.885643,-6.42857142857143,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
1,h_web_L1,5,370,250,400,550,2369.821428,88.753899,25.035063,19.5634228095238,0,0,16.753899,-10.964937,-2.14285714285715,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
1,h_web_L1,6,400,250,400,550,2381.690628,86.901192,24.865898,19.853572952381,0,0,14.901192,-11.134102,2.14285714285715,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
1,h_web_L1,7,430,250,400,550,2393.559828,84.772675,24.622612,22.0107702380953,0,0,12.772675,-11.377388,6.42857142857143,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
1,h_web_L1,8,460,250,400,550,2405.429028,82.453728,24.320358,23.9775375238095,0,0,10.453728,-11.679642,10.7142857142857,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
1,h_web_L1,9,490,250,400,550,2417.298228,80.013351,23.973024,25.8228748095238,0,0,8.013351,-12.026976,15,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
1,h_web_L1,10,520,250,400,550,2429.167428,77.506332,23.592258,27.6015700952381,0,0,5.506332,-12.407742,19.2857142857143,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
1,h_web_L1,11,550,250,400,550,2441.036628,74.975418,23.187698,29.3563703809524,0,0,2.975418,-12.812302,23.5714285714286,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
