var_index,var_name,scan_step,scan_value,lb,mid_value,ub,objective_kg,max_bend,max_shear,cv,feasible,error_flag,g_bend,g_shear,g_web_L1,g_flange_L1,g_web_L2,g_flange_L2,g_web_R1,g_flange_R1
3,b_bot_L1,1,120,120,170,220,2339.300628,92.724007,24.001268,25.3430546190476,0,0,20.724007,-11.998732,2.14285714285715,-3,2.14285714285715,0.333333333333334,-20,-0.285714285714286
3,b_bot_L1,2,130,120,170,220,2347.778628,88.955902,24.202799,21.5749496190476,0,0,16.955902,-11.797201,2.14285714285715,-2.33333333333333,2.14285714285715,0.333333333333334,-20,-0.285714285714286
3,b_bot_L1,3,140,120,170,220,2356.256628,86.252701,24.388359,18.8717486190476,0,0,14.252701,-11.611641,2.14285714285715,-1.66666666666667,2.14285714285715,0.333333333333334,-20,-0.285714285714286
3,b_bot_L1,4,150,120,170,220,2364.734628,86.48526,24.559742,19.1043076190476,0,0,14.48526,-11.440258,2.14285714285715,-1,2.14285714285715,0.333333333333334,-20,-0.285714285714286
3,b_bot_L1,5,160,120,170,220,2373.212628,86.700859,24.718483,19.3199066190476,0,0,14.700859,-11.281517,2.14285714285715,-0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
3,b_bot_L1,6,170,120,170,220,2381.690628,86.901192,24.865898,19.853572952381,0,0,14.901192,-11.134102,2.14285714285715,0.333333333333334,2.14285714285715,0.333333333333334,-20,-0.285714285714286
3,b_bot_L1,7,180,120,170,220,2390.168628,87.087708,25.034912,20.7067556190476,0,0,15.087708,-10.965088,2.14285714285715,1,2.14285714285715,0.333333333333334,-20,-0.285714285714286
3,b_bot_L1,8,190,120,170,220,2398.646628,87.261703,25.196634,21.5474172857143,0,0,15.261703,-10.803366,2.14285714285715,1.66666666666667,2.14285714285715,0.333333333333334,-20,-0.285714285714286
3,b_bot_L1,9,200,120,170,220,2407.124628,87.424316,25.347813,22.376696952381,0,0,15.424316,-10.652187,2.14285714285715,2.33333333333333,2.14285714285715,0.333333333333334,-20,-0.285714285714286
3,b_bot_L1,10,210,120,170,220,2415.602628,87.576546,25.489424,23.1955936190476,0,0,15.576546,-10.510576,2.14285714285715,3,2.14285714285715,0.333333333333334,-20,-0.285714285714286
3,b_bot_L1,11,220,120,170,220,2424.080628,87.719276,25.622322,24.0049902857143,0,0,15.719276,-10.377678,2.14285714285715,3.66666666666667,2.14285714285715,0.333333333333334,-20,-0.285714285714286
